"국가별",1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999
"국가별",외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외
"아시아",,,,,,,,,,,,,,
"대한민국",20262,20229,25673,25639,32712,32678,33237,33201,20405,20369,52041,51974,74055,73987
"아르메니아",14,14,35,32,110,100,168,156,239,229,293,281,304,291
"아제르바이잔",1,1,2,2,121,121,214,211,467,466,449,447,673,673
"바레인",1309,1302,1176,1170,1287,1280,1325,1318,1297,1290,1086,1079,1376,1369
"방글라데시",2437,2411,3166,3139,2367,2340,1863,1835,1607,1581,1928,1905,1623,1604
"부탄",98,98,121,121,130,130,190,190,189,189,257,257,292,292
"브루나이",-,-,-,-,-,-,-,-,-,-,-,-,517,517
"캄보디아",24,24,118,118,192,192,266,266,299,299,439,324,509,393
"중국",22999,22387,53560,52914,76036,75377,107676,107039,143363,142762,149812,149188,158336,157728
"키프로스",1111,1097,1480,1465,1134,1117,1712,1542,1525,1392,1513,1380,1975,1833
"조지아",-,-,-,-,199,199,191,191,202,202,133,133,144,144
"홍콩",43012,42986,49277,49251,55424,55398,63833,63808,92823,92804,89669,89650,96255,96236
"인도",13524,10199,23053,19698,21591,17922,23784,20170,27568,24688,29833,27341,35069,32667
"인도네시아",12354,11263,13199,12133,14787,13708,19281,18251,17396,16587,23517,22713,27257,26445
"이라크",6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745
"이스라엘",6383,6383,6793,6792,8120,8119,11415,11415,20332,20332,22674,22674,22605,22605
"일본",99689,98524,127098,125860,184510,183250,217867,216648,220792,219648,216665,215471,288080,286916
"요르단",1737,1637,1891,1693,2169,1973,1957,1759,2401,2200,1955,1750,2749,2629
"카자흐스탄",711,456,1216,838,1660,1136,1961,1294,2221,1697,1965,1461,2002,1479
"쿠웨이트",4320,4214,3606,3501,3667,3561,3621,3515,3556,3452,4052,3947,4928,4824
"키르기스스탄",48,48,26,26,124,81,123,95,199,170,188,164,254,230
"라오스",64,63,62,61,93,92,170,169,113,112,113,112,105,101
"레바논",5864,2260,7419,3884,8105,4533,9342,5932,8647,5976,9207,6556,10454,7776
"마카오",1569,1569,1966,1966,2257,2257,2422,2422,2533,2533,2463,2463,2857,2857
"말레이시아",27364,27249,25545,25423,23899,23774,27130,27009,20899,20788,25675,25559,30645,30588
"몰디브",26,26,31,31,48,48,76,76,98,98,119,119,127,127
"몽골",65,60,92,81,152,117,161,107,200,176,103,94,137,136
"미얀마",315,303,435,422,573,561,241,229,261,250,326,315,277,265
"네팔",647,640,700,694,593,586,578,571,633,626,763,756,852,845
"오만",1872,1804,1715,1646,1899,1831,2030,1962,2138,2070,2006,1938,2836,2767
"파키스탄",1889,1197,3721,2929,2453,1733,1238,548,1830,1195,1646,1028,2054,1511
"필리핀",5921,4676,7142,6038,7799,6396,11773,10058,8769,7297,10829,9274,15052,13270
"카타르",738,697,699,658,785,744,728,686,836,821,1059,1043,1310,1304
"사우디아라비아",7649,7428,7612,7378,8861,8622,14552,14321,15093,14876,14447,14220,17218,16997
"싱가포르",48416,48416,58296,58296,68816,68816,76964,76964,71390,71390,75077,75077,77047,77047
"스리랑카",1635,1629,2052,2046,2094,2088,1967,1962,2029,2024,1984,1980,1639,1636
"시리아",155,126,155,126,155,126,155,126,155,126,155,126,155,126
"대만",89298,83573,98273,92454,95911,90310,93594,88038,88186,83502,95084,90341,111061,106200
"타지키스탄",-,-,-,-,-,-,-,-,39,37,56,54,57,55
"태국",25440,24473,30279,29332,36945,35982,38645,37731,26892,26179,29536,28825,34781,34063
"튀르키예",7760,6272,8579,7169,13825,12442,17819,16436,20042,18658,20613,19489,24357,23346
"투르크메니스탄",799,799,929,929,1168,1168,1169,1169,1256,1256,1376,1376,1513,1513
"아랍에미리트",6286,6104,6840,6659,7653,7471,8238,8055,8554,8372,9258,9077,10766,10675
"우즈베키스탄",-,-,-,-,-,-,-,-,-,-,-,-,1242,763
"베트남",-,-,-,-,1379,1324,1814,1736,2098,1986,2101,2002,3423,3326
"예멘",148,145,257,255,622,619,1036,1017,1222,1203,1011,996,1487,1471
"북아메리카",,,,,,,,,,,,,,
"캐나다",12773,12481,12484,12286,15227,15049,20577,20422,17969,17823,23429,23307,28650,28126
"멕시코",25299,25110,6441,6278,17045,16847,19527,19433,28853,28797,31863,31799,31829,31782
"미국",73406,62353,74335,63284,85831,74781,75089,64041,69954,58907,81760,70715,71548,60500
"남아메리카",,,,,,,,,,,,,,
"안길라",9,9,9,9,13,13,14,14,16,16,18,18,20,20
"앤티가바부다",38,38,46,46,59,59,48,48,51,51,59,59,70,70
"아르헨티나",15463,13791,15978,14327,15967,14288,19715,18104,22439,22320,24877,24752,26373,26252
"아루바",207,181,203,178,243,217,216,188,200,172,245,222,243,220
"바하마",172,172,177,177,179,179,171,171,227,227,347,347,410,410
"바베이도스",150,150,196,196,219,219,290,290,265,265,366,366,302,302
