"국가별",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"국가별",초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국",-,-,-,12.08,12.12,-,-,-,12.30,12.45,-,-,-,12.40,12.57,-,10.11,11.07,10.90,12.44,-,10.81,11.88,11.70,13.24,-,13.29,15.28,12.80,14.98,-,7.95,9.40,8.72,5.01
"아르메니아",-,-,-,-,-,-,-,-,209.60,-,-,56.18,96.10,114.23,62.42,-,32.19,66.36,-,48.56,-,26.08,54.23,-,36.41,-,24.94,48.49,-,27.84,-,27.35,38.85,-,23.65
"아제르바이잔",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.23,-,-,-,-,14.10,13.46,19.85,-,-,18.31,12.08,19.48,-,-
"바레인",3.33,3.03,10.84,-,3.53,4.81,4.00,10.71,-,5.18,6.07,5.70,11.70,-,6.24,5.49,5.18,12.32,-,5.69,5.68,5.28,12.20,-,5.93,5.53,4.74,11.80,-,5.69,5.46,4.80,11.73,-,5.58
"방글라데시",-,9.27,13.92,-,-,-,7.26,13.45,-,-,-,6.85,12.99,-,-,-,8.26,12.99,-,-,-,9.20,12.99,-,10.09,-,9.30,12.93,-,8.67,-,9.44,13.10,-,7.73
"부탄",-,8.00,17.00,-,-,-,8.00,16.58,-,-,-,8.00,16.00,-,-,-,8.21,16.00,-,-,-,8.25,16.00,-,-,-,8.25,16.00,-,-,-,8.25,16.00,-,-
"브루나이",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.50,-,-,-,-,5.50,-,-
"캄보디아",-,-,-,-,-,-,8.39,-,-,-,-,8.71,-,-,-,-,8.80,-,-,-,-,8.03,-,-,-,-,7.80,-,-,-,-,7.33,-,-,-
"중국",-,10.98,10.98,-,-,-,10.98,10.98,-,-,-,10.98,12.06,-,-,-,7.47,10.08,-,-,-,5.67,8.64,-,-,-,3.78,6.39,-,-,-,2.25,5.85,-,-
"키프로스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.93,-,-,-,-,7.22,-,-,-,-,7.34,-
"조지아",-,-,-,-,-,-,-,-,-,-,-,17.16,-,-,-,-,14.71,-,-,-,-,16.29,-,-,-,-,9.08,-,-,-,-,5.33,-,-,-
"홍콩",3.17,-,6.50,-,4.00,4.28,3.54,7.38,-,4.28,5.73,5.63,8.90,-,5.86,5.05,4.64,8.52,-,5.40,6.43,5.98,8.90,-,6.06,7.29,6.62,9.90,-,6.68,5.35,4.50,8.50,-,5.59
"인도",-,-,16.25,-,8.64,-,-,14.75,-,7.14,-,-,15.46,-,15.57,-,-,15.96,-,11.04,-,-,13.83,-,5.29,-,-,13.54,-,-,-,-,12.54,-,-
"인도네시아",-,14.55,20.59,-,8.66,-,12.53,17.76,-,9.74,-,16.72,18.85,-,13.64,-,17.26,19.22,-,13.96,-,20.01,21.82,-,27.82,-,39.07,32.15,-,62.79,-,25.74,27.66,-,23.58
"이스라엘",-,-,-,-,-,-,-,-,-,-,14.37,-,-,-,-,15.34,-,-,-,-,13.39,-,-,-,-,11.33,-,-,-,-,11.41,-,-,-,-
