"국가(통화단위)별",1993,1994,1995,1996,1997,1998,1999
"아시아",,,,,,,
"대한민국(Won)",802.75,803.46,770.94,805.13,953.58,1394.97,1188.65
"아프가니스탄(Afghanis)",39.28,38.82,36.57,47.50,47.50,47.50,46.62
"아르메니아(Drams)",9.11,288.65,405.91,414.04,490.85,504.92,535.06
"아제르바이잔(Manat)",0.02,0.31,0.88,0.86,0.80,0.77,0.82
"바레인(Dinar)",0.38,0.38,0.38,0.38,0.38,0.38,0.38
"방글라데시(Taka)",39.57,40.21,40.28,41.79,43.89,46.91,49.09
"부탄(Ngultrum)",30.49,31.37,32.43,35.43,36.31,41.26,43.06
"브루나이(B$)",1.62,1.53,1.42,1.41,1.49,1.67,1.70
"캄보디아(Riels)",2689.00,2545.25,2450.83,2624.08,2946.25,3744.42,3807.83
"중국(Yuan)",5.76,8.62,8.35,8.31,8.29,8.28,8.28
"키프로스(Pound)",0.50,0.49,0.45,0.47,0.51,0.52,0.54
"동티모르(US$)",1.00,1.00,1.00,1.00,1.00,1.00,1.00
"조지아(Lari)",-,-,-,1.26,1.30,1.39,2.03
"홍콩(HK$)",7.74,7.73,7.74,7.73,7.74,7.75,7.76
"인도(Rupees)",30.49,31.37,32.43,35.43,36.31,41.26,43.06
"인도네시아(Rupiah)",2087.10,2160.75,2248.61,2342.30,2909.38,10013.62,7855.15
"이란(Rials)",1268.08,1749.17,1748.35,1751.19,1753.35,1752.29,1753.36
"이라크(New Iraqi dinars)",2002.39,2002.39,2002.39,2002.39,2002.39,2002.39,2002.39
"이스라엘(New Sheqalim)",2.83,3.01,3.01,3.19,3.45,3.80,4.14
"일본(Yen)",111.20,102.21,94.06,108.78,120.99,130.91,113.91
"요르단(Dinars)",0.69,0.70,0.70,0.71,0.71,0.71,0.71
"카자흐스탄(Tenge)",-,35.54,60.95,67.30,75.44,78.30,119.52
"쿠웨이트(Dinar)",0.30,0.30,0.30,0.30,0.30,0.31,0.30
"키르기즈스탄(Soms)",-,10.84,10.82,12.81,17.36,20.84,39.01
"라오스(Kip)",716.25,717.67,804.69,921.02,1259.98,3298.33,7102.03
